,Date,type,Month,Open,High,Low,Close,Price change,Price change Ratio,Volume,Final Price,# of OC,Final BBP,Final BSP,Hitorical HP,Historical LP,MA5,MA10,MA20,BBAND5UP,BBAND5LOW,BBAND10UP,BBAND10LOW,BBAND20UP,BBAND20LOW,OutLots
82,2010-05-07,TX,201005,7352,7547,7351,7502,-76,-1.00%,157944,7504,49835,7503,7504,8162,7351,7807.2,7935.0,7978.55,7739.195381,7418.804619,8220.641211,7865.358789,8312.280094,8003.719906,0
83,2010-05-10,TX,201005,7564,7638,7531,7637,133,1.77%,104819,7635,48880,7637,7638,8162,7351,7709.8,7889.4,7948.6,7669.913549,7334.086451,8208.483576,7769.516424,8285.059116,7918.940884,0
84,2010-05-11,TX,201005,7570,7697,7555,7568,-67,-0.88%,137129,7570,49791,7568,7573,8162,7351,7651.0,7838.3,7924.15,7763.536951,7510.463049,8143.708745,7718.291255,8012.24728,7631.75272,0
85,2010-05-12,TX,201005,7630,7658,7541,7587,17,0.22%,125000,7586,50657,7586,7587,8162,7351,7588.6,7782.1,7901.6,7622.840131,7513.159869,8082.197651,7677.802349,8079.906449,7672.093551,0
86,2010-05-13,TX,201005,7698,7777,7660,7761,175,2.31%,118535,7763,48316,7761,7762,8162,7351,7574.6,7737.3,7875.35,7630.315586,7543.684414,7847.492546,7466.507454,8188.863658,7771.136342,0
87,2010-05-14,TX,201005,7712,7766,7702,7760,-3,-0.04%,83064,7756,45154,7756,7760,8162,7351,7611.0,7709.1,7855.5,7847.581753,7674.418247,7740.873685,7417.126315,8124.722933,7725.277067,0
88,2010-05-17,TX,201005,7680,7682,7555,7602,-154,-1.99%,132831,7602,40344,7602,7603,8162,7351,7662.6,7686.2,7838.4,7843.053236,7676.946764,7636.548727,7367.451273,8150.392152,7765.607848,0
89,2010-05-18,TX,201005,7610,7640,7576,7619,17,0.22%,92214,7616,30843,7618,7620,8162,7351,7655.6,7653.3,7827.4,7688.326358,7515.673642,7745.338405,7528.661595,8347.184688,7948.815312,0
90,2010-05-19,TX,201005,7518,7587,7468,7576,-40,-0.53%,80404,0,22209,7575,7576,8162,7351,7665.8,7627.2,7814.55,7696.983075,7541.016925,7645.681143,7490.318857,8333.869683,7926.130317,0
91,2010-05-20,TX,201006,7509,7514,7356,7357,-126,-1.68%,129922,7364,52890,7356,7360,8228,6400,7663.6,7619.1,7794.35,7656.295953,7495.704047,7665.371487,7508.628513,8241.473794,7828.526206,0
92,2010-05-21,TX,201006,7164,7247,7112,7209,-155,-2.10%,121989,7206,54950,7204,7209,8228,6400,7582.8,7596.9,7765.95,7486.70027,7227.29973,7872.166947,7649.833053,8267.800239,7818.199761,0
93,2010-05-24,TX,201006,7224,7319,7214,7274,68,0.94%,100810,7274,54740,7272,7275,8228,6400,7472.6,7567.6,7728.5,7371.306623,7046.693377,7920.142561,7599.857439,8239.595591,7738.404409,0
94,2010-05-25,TX,201006,7188,7189,7006,7052,-222,-3.05%,149343,7052,56762,7053,7054,8228,6400,7407.0,7531.3,7684.8,7437.032512,7110.967488,7782.184378,7421.815622,8180.835866,7681.164134,0
